t_perf,t_wall,value,rtt_ms
0.338961,1783017311.619606,1.25,338.173
0.686784,1783017311.967429,2.25,347.796
1.035895,1783017312.316536,3,349.079
1.367674,1783017312.648317,3.75,331.760
1.717287,1783017312.997946,4.75,349.591
2.062231,1783017313.342872,5.5,344.907
2.396765,1783017313.677407,6.5,334.497
2.729289,1783017314.009932,7.25,332.504
3.066014,1783017314.346656,8,336.703
3.407238,1783017314.687878,9,341.182
3.756548,1783017315.037190,9.75,349.294
4.107820,1783017315.388465,10.75,351.250
4.451185,1783017315.731827,11.5,343.339
4.797064,1783017316.077704,12.5,345.858
5.137633,1783017316.418276,13.25,340.532
5.472581,1783017316.753223,14.25,334.926
5.807631,1783017317.088272,15,335.028
6.155233,1783017317.435874,15.75,347.583
6.502711,1783017317.783352,16.75,347.459
6.858035,1783017318.138679,17.5,355.290
7.203967,1783017318.484608,18.5,345.905
7.539661,1783017318.820302,19.25,335.674
7.872674,1783017319.153317,20.25,332.995
8.219395,1783017319.500035,21,346.695
8.555487,1783017319.836130,21.75,336.076
8.904642,1783017320.185287,22.75,349.132
9.246458,1783017320.527102,23.5,341.787
9.595572,1783017320.876214,24.5,349.075
9.943793,1783017321.224432,25.25,348.186
10.295498,1783017321.576139,26.25,351.689
10.627661,1783017321.908302,27,332.128
10.962095,1783017322.242737,27.75,334.416
11.295011,1783017322.575655,28.75,332.895
11.648591,1783017322.929232,29.5,353.556
11.999768,1783017323.280408,30.5,351.157
12.342228,1783017323.622870,31.25,342.428
12.689822,1783017323.970464,32.25,347.574
13.040955,1783017324.321597,33,351.114
13.387755,1783017324.668398,34,346.780
13.735031,1783017325.015671,34.75,347.238
14.089191,1783017325.369834,35.75,354.142
14.425422,1783017325.706063,36.5,336.208
14.776041,1783017326.056681,37.5,350.600
15.106025,1783017326.386682,38.25,329.955
15.451489,1783017326.732134,39,345.428
15.785107,1783017327.065748,40,333.584
16.118260,1783017327.398900,40.75,333.134
16.475406,1783017327.756047,41.75,357.129
16.831987,1783017328.112628,42.5,356.562
17.162595,1783017328.443234,43.25,330.589
17.497719,1783017328.778361,44.25,334.956
17.850039,1783017329.130680,45,352.299
18.203976,1783017329.484617,46,353.902
18.553259,1783017329.833900,46.75,349.263
18.903029,1783017330.183671,47.75,349.751
19.250646,1783017330.531286,48.5,347.596
19.599592,1783017330.880233,49.5,348.930
19.949672,1783017331.230314,50.25,350.060
20.284067,1783017331.564708,51.25,334.373
20.629643,1783017331.910285,52,345.539
20.964813,1783017332.245456,52.75,335.151
21.311326,1783017332.591970,53.75,346.490
21.656912,1783017332.937553,54.5,345.560
22.001659,1783017333.282305,55.5,344.729
22.357638,1783017333.638279,56.25,355.953
22.694268,1783017333.974910,57.25,336.611
23.047911,1783017334.328552,58,353.608
23.400641,1783017334.681281,59,352.698
23.748917,1783017335.029561,59.75,348.260
24.097154,1783017335.377796,60.75,348.211
24.447324,1783017335.727964,61.5,350.148
24.795247,1783017336.075888,62.5,347.906
25.145125,1783017336.425767,63.25,349.859
25.496684,1783017336.777327,64.25,351.537
25.844191,1783017337.124832,65,347.467
26.189463,1783017337.470104,66,345.255
26.542077,1783017337.822718,66.75,352.594
26.874980,1783017338.155622,67.75,332.884
27.224013,1783017338.504654,68.5,348.997
27.567223,1783017338.847863,69.25,343.191
27.916371,1783017339.197014,70.25,349.130
28.266701,1783017339.547343,71,350.307
28.623852,1783017339.904494,72,357.131
28.974791,1783017340.255431,73,350.916
29.316853,1783017340.597493,73.75,342.045
29.666929,1783017340.947572,74.5,350.059
30.002831,1783017341.283473,75.5,335.878
30.346029,1783017341.626672,76.25,343.176
30.695114,1783017341.975757,77.25,349.043
31.052647,1783017342.333289,78,357.495
31.387262,1783017342.667906,79,334.596
31.731101,1783017343.011742,79.75,343.800
32.077431,1783017343.358071,80.75,346.309
32.416835,1783017343.697478,81.5,339.388
32.753230,1783017344.033870,82.25,336.373
33.109040,1783017344.389683,83.25,355.794
33.453965,1783017344.734607,84,344.900
33.786576,1783017345.067216,85,332.588
34.133472,1783017345.414113,85.75,346.879
34.469975,1783017345.750636,86.75,336.484
34.803506,1783017346.084148,87.5,333.331
35.151138,1783017346.431780,88.25,347.611
35.500193,1783017346.780834,89.25,349.033
35.842511,1783017347.123154,90,342.281
36.198217,1783017347.478860,91,355.682
36.544960,1783017347.825602,91.75,346.704
36.890643,1783017348.171285,92.75,345.665
37.240704,1783017348.521344,93.5,350.042
37.585196,1783017348.865838,94.5,344.473
37.937301,1783017349.217941,95.25,352.085
38.269639,1783017349.550280,96.25,332.308
38.622031,1783017349.902674,97,352.375
38.972513,1783017350.253155,98,350.444
39.313209,1783017350.593849,98.75,340.673
39.663981,1783017350.944622,99.5,350.756
40.013291,1783017351.293936,99.5,349.292
40.356163,1783017351.636806,98.75,342.846
40.691034,1783017351.971674,97.75,334.848
41.042660,1783017352.323301,97,351.609
41.377001,1783017352.657643,96,334.307
41.711153,1783017352.991793,95.25,334.133
42.045126,1783017353.325769,94.5,333.956
42.379471,1783017353.660112,93.5,334.321
42.714372,1783017353.995015,92.75,334.882
43.048463,1783017354.329104,92,334.068
43.385259,1783017354.665902,91,336.779
43.718544,1783017354.999185,90.25,333.263
44.062701,1783017355.343342,89.5,344.140
